symbol,company_name,topic,weight_tfidf,first_year,last_year
A,"Agilent Technologies, Inc.",clinical,0.1193151500546231,2024,2024
A,"Agilent Technologies, Inc.",diagnostics,0.09392115484461631,2024,2024
A,"Agilent Technologies, Inc.",orders,0.09868764455457303,2024,2024
A,"Agilent Technologies, Inc.",pharma,0.3215782418987382,2024,2024
AAPL,Apple Inc.,ai,0.07233707983046758,2024,2024
AAPL,Apple Inc.,gross,0.0722975860125046,2024,2024
AAPL,Apple Inc.,gross margin,0.06641110350787444,2024,2024
AAPL,Apple Inc.,installed base,0.09370831914551209,2024,2024
ABBV,AbbVie Inc.,disease,0.2225663154728609,2024,2024
ABBV,AbbVie Inc.,market growth,0.07805489730520554,2024,2024
ABBV,AbbVie Inc.,oncology,0.16890651142619814,2024,2024
ABBV,AbbVie Inc.,patients,0.39075951720335267,2024,2024
ABBV,AbbVie Inc.,sales billion,0.08258796844507545,2024,2024
ABBV,AbbVie Inc.,therapies,0.10840385948164179,2024,2024
ABBV,AbbVie Inc.,therapy,0.12162455333754223,2024,2024
ABBV,AbbVie Inc.,trial,0.0823258471555327,2024,2024
ABNB,"Airbnb, Inc.",ai,0.037149408832733176,2024,2024
ABNB,"Airbnb, Inc.",bookings,0.04819963909579935,2024,2024
ABNB,"Airbnb, Inc.",customer service,0.03437402720416995,2024,2024
ABNB,"Airbnb, Inc.",hotel,0.08468769627626248,2024,2024
ABNB,"Airbnb, Inc.",hotels,0.12002065951318462,2024,2024
ABNB,"Airbnb, Inc.",marketing,0.058759639760579366,2024,2024
ABNB,"Airbnb, Inc.",supply,0.06283179328349815,2024,2024
ABNB,"Airbnb, Inc.",travel,0.09279724536866417,2024,2024
ABT,Abbott Laboratories,clinical,0.195388836470004,2024,2024
ABT,Abbott Laboratories,diagnostic,0.09384381795248022,2024,2024
ABT,Abbott Laboratories,diagnostics,0.1839056182133786,2024,2024
ABT,Abbott Laboratories,gross,0.15052897810384447,2024,2024
ABT,Abbott Laboratories,gross margin,0.16373586750406624,2024,2024
ABT,Abbott Laboratories,medical,0.0927374582294732,2024,2024
ABT,Abbott Laboratories,organic sales,0.13579674778428144,2024,2024
ABT,Abbott Laboratories,sales growth,0.1675934195970744,2024,2024
ABT,Abbott Laboratories,sales increased,0.0822540427727246,2024,2024
ABT,Abbott Laboratories,trial,0.09474022034603487,2024,2024
ACGL,Arch Capital Group Ltd.,cyber,0.057896394295682094,2024,2024
ACGL,Arch Capital Group Ltd.,equity,0.05910766267298667,2024,2024
ACGL,Arch Capital Group Ltd.,loss,0.16405918224891788,2024,2024
ACGL,Arch Capital Group Ltd.,loss ratio,0.20101085168859437,2024,2024
ACGL,Arch Capital Group Ltd.,losses,0.08860244471584261,2024,2024
ACGL,Arch Capital Group Ltd.,mortgage,0.17129758780877322,2024,2024
ACGL,Arch Capital Group Ltd.,property,0.14833871481147692,2024,2024
ACN,Accenture plc,ai,0.18754257041822817,2024,2024
ACN,Accenture plc,banking,0.05712252191132647,2024,2024
ACN,Accenture plc,bookings,0.21624900779878475,2024,2024
ACN,Accenture plc,clients,0.420745134173484,2024,2024
ACN,Accenture plc,cloud,0.12143535362098277,2024,2024
ACN,Accenture plc,digital,0.14841856330691808,2024,2024
ACN,Accenture plc,generative ai,0.06374012654461063,2024,2024
ACN,Accenture plc,operating margin,0.06591771864819429,2024,2024
ADBE,Adobe Inc.,ai,0.19811057349497432,2024,2024
ADBE,Adobe Inc.,cloud,0.2233110822597688,2024,2024
ADBE,Adobe Inc.,digital,0.1468755572270353,2024,2024
ADBE,Adobe Inc.,generative ai,0.0761690132951031,2024,2024
ADBE,Adobe Inc.,models,0.08383921063627998,2024,2024
ADBE,Adobe Inc.,subscription,0.0668745881147187,2024,2024
ADBE,Adobe Inc.,workflows,0.06385234060567214,2024,2024
ADI,"Analog Devices, Inc.",ai,0.12265768156218233,2024,2024
ADI,"Analog Devices, Inc.",auto,0.124515715563095,2024,2024
ADI,"Analog Devices, Inc.",automotive,0.14884709505753668,2024,2024
ADI,"Analog Devices, Inc.",bookings,0.20254521201477732,2024,2024
ADI,"Analog Devices, Inc.",consumer,0.07735738196470665,2024,2024
ADI,"Analog Devices, Inc.",gross,0.1253768668417837,2024,2024
ADI,"Analog Devices, Inc.",gross margin,0.0989136236547646,2024,2024
ADI,"Analog Devices, Inc.",gross margins,0.0799528652892339,2024,2024
ADI,"Analog Devices, Inc.",industrial,0.366035961656136,2024,2024
